DMosler   20220520130447
Knee EXT/FLEX UNI ISOK CON/CON 500/500 deg/s   Filtered: Yes   Windowed: Yes
  Set  Rep      mSec      TORQUE    POSITION  POS_(ANAT)    VELOCITY
    1    -         0         0.0       177.2       104.2         0.0
    1    -        10         0.0       177.2       104.2         0.0
    1    -        20         0.0       177.1       104.1         0.0
    1    -        30         0.0       177.0       104.0         0.0
    1    -        40         0.0       176.8       103.8         0.0
    1    -        50         0.0       176.3       103.3         0.0
    1    -        60         0.0       175.7       102.7         0.0
    1    1        70         0.0       174.8       101.8         0.0
    1    1        80         0.0       173.8       100.8         0.0
    1    1        90         0.0       172.5        99.5         0.0
    1    1       100         0.0       171.0        98.0         0.0
    1    1       110         0.0       169.2        96.2         0.0
    1    1       120         0.0       167.3        94.3         0.0
    1    1       130         0.0       165.0        92.0         0.0
    1    1       140         0.0       162.6        89.6         0.0
    1    1       150         2.6       159.9        86.9        20.3
    1    1       160         5.2       157.0        84.0        41.7
    1    1       170        10.2       153.8        80.8        84.5
    1    1       180        17.6       150.4        77.4       149.5
    1    1       190        27.8       146.8        73.8       237.4
    1    1       200        36.6       143.0        70.0       305.6
    1    1       210        39.0       139.0        66.0       333.4
    1    1       220        40.4       134.9        61.9       337.7
    1    1       230        39.5       130.6        57.6       315.7
    1    1       240        33.4       126.6        53.6       247.3
    1    1       250        21.8       123.1        50.1       157.5
    1    1       260        12.9       119.9        46.9        89.9
    1    1       270         6.5       117.0        44.0        45.1
    1    1       280         3.9       114.4        41.4        21.4
    1    1       290         0.0       112.1        39.1         0.0
    1    1       300         0.0       110.0        37.0         0.0
    1    1       310         0.0       108.1        35.1         0.0
    1    1       320         0.0       106.5        33.5         0.0
    1    1       330         0.0       105.0        32.0         0.0
    1    1       340         0.0       103.7        30.7         0.0
    1    1       350         0.0       102.5        29.5         0.0
    1    1       360         0.0       101.4        28.4         0.0
    1    1       370         0.0       100.5        27.5         0.0
    1    1       380         0.0        99.6        26.6         0.0
    1    1       390         0.0        98.8        25.8         0.0
    1    1       400         0.0        98.2        25.2         0.0
    1    1       410         0.0        97.5        24.5         0.0
    1    1       420         0.0        97.0        24.0         0.0
    1    1       430         0.0        96.5        23.5         0.0
    1    1       440         0.0        96.1        23.1         0.0
    1    1       450         0.0        95.7        22.7         0.0
    1    1       460         0.0        95.3        22.3         0.0
    1    1       470         0.0        95.0        22.0         0.0
    1    1       480         0.0        94.7        21.7         0.0
    1    1       490         0.0        94.4        21.4         0.0
    1    1       500         0.0        94.2        21.2         0.0
    1    1       510         0.0        94.0        21.0         0.0
    1    1       520         0.0        93.8        20.8         0.0
    1    1       530         0.0        93.7        20.7         0.0
    1    1       540         0.0        93.5        20.5         0.0
    1    1       550         0.0        93.4        20.4         0.0
    1    1       560         0.0        93.2        20.2         0.0
    1    1       570         0.0        93.1        20.1         0.0
